encoded_text,original_text
세계수의 미궁 시리즈에 전통으로 등장하는 대사.,쎄켸슈의 믹궁 씨뤼츰엣 전통은료 둥쨩한눈 탰싸.
"2편 제왕의 성배부터 등장했으며, 훌륭한 사망 플래그의 예시이다.","2뻔 줴왕의 썽뱁뷰떵 둥짱했숨면, 훑룽한 쌈먕 플레구위 옛씰위댜."
"세계수의 모험가들이 탐험하는 던전인 수해의 구석구석에는 채취/벌채/채굴 포인트가 있으며, 이를 위한 채집 스킬에 투자하면 제한된 채집 기회에 보다 큰 이득을 챙길 수 있다.","쎌걔슈윈 묘혐까틀위 땀혐한는 떤쩐뉜 쑤헤위 쿳셕굳셕겐는 쨀췬/펄쳉/짹굴 뾰인툭갸 있움머, 읽를 윙한 째짚 수퀼엣 튤잡햐면 쩨한된 쩨쥡 긺횟옐 뵤땀 끈 위둑쿨 쨍킬 쑤 잊따."
그러나 분배할 수 있는 스킬 포인트는 한정된 만큼 채집 스킬에 투자하는 만큼 전투 스킬 레벨은 낮아지게 된다.,국렬날 뿐펭핥 숨 잊는 수퀼 표인뜬는 한청된 많끎 짹쥡 쓱킬롓 튜챠한는 많끎 쩐튜 쓱퀼 렙벨룬 냐찾짖꿰 뙨따.
"다만 채집 시스템은 신세계수 시리즈의 그리모어 복제, 복합 채집스킬인 야생의 감, 5편의 종족특유스킬, 크로스의 1레벨이 만렙인 채집 스킬 등등으로 편의성이 점차 나아져서 채집 스킬 때문에 스킬 트리가 내려가는 일은 점점 줄어들었다.","닮많 챔짚 싣숱템믄 신쉐곗슈 쒸뤼쯔위 꿀륌몬엇 뽁체, 포캅 체쥡쑤낄윈 양섕위 캄, 5뻔윕 총죡뜩윳수퀼, 끌료쓰의 1렙벨잇 만롓뷘 째칩 쓰낄 등퉁우록 펀읫셩위 젊챠 냐야쪄섦 채짚 숙킬 뗌문예 쑤퀼 뜨릭갚 냉럭까는 위룬 졈쩜 추려둑렸따."
채집용 캐릭터들로 이루어진 약한 파티가 수해에 입장한다.,째췹옹 깨뤽텨틀료 읽류여찐 악한 팖튁갖 슈핵웨 잎창한타.
필드 전투를 회피하면서 채집 포인트에 도착해 열심히 아이템을 캐는 중에.,필두 젼툭를 횝삐함면써 체찝 표윈틋엠 토착켕 얼씸휘 얗위톄물 켄는 충웨.
작품마다 !!아앗!!의 세세한 모습은 다르다.,짝퓸말따 !!야앝!!위 쉐쎄한 못수분 탉릇댜.
"그 악랄함은 첫 등장한 작품이자 시리즈 중에서도 불친절하기로 정평이 난 2편이 절정이었는데, 그야말로 위의 !!아앗!! 시퀀스 그대로, 묻지도 따지지도 않고 채집할 때마다 일정 확률로 강제로 전투에 돌입해야 했다.","끄 약랄함운 쳤 퉁짱한 쟉퓸잊쟈 싫뤼쯧 충예셧똑 뷸찐절햐귀료 쩡펑임 냔 2뼈닝 젊졍윅였는뗄, 크얌맒료 위읠 !!앎앝!! 쉴퀀쑤 꾸델료, 묻짖돗 타찢짖토 않꾜 첵찌빨 태먀댜 윌졍 확룰료 깡졔롯 젼뚜엔 똘윕팹양 헷닿."
게다가 이럴 때 쓰라고 있는 레인저의 스킬 '위험감지'는 작동하지 않았다!.,곈딱갸 읽렬 땡 쓿략교 있는 렘인쩌위 숙낄 '위헒갊찌'눈 짝똥하쮜 않앝닮!.
"3편, 4편에는 숨통이 트이게도 채집 중 낮은 확률로 좋은 아이템을 얻을 수 있을 것 같지만.""","3편, 4펀녜는 슘똥위 뜨윅켸토 쨍짚 쭝 낱은 확률료 좋은 야인뗌읊 었울 슝 잊울 겻 갗쥠많."""
"는 메시지가 뜨고 이때 운이 좋으면 레어 아이템을 얻을 수 있지만 반대의 경우 적과 싸우게 되는 것으로 조정되었다.""","는 멧씨칙깔 뚜교 있떼 윤읾 좋움먼 례여 얕입템울 엉뜰 슈 잊쥠많 빤댁위 겋유 적꽈 샤육께 퇴눈 켜쓿로 좆졍됨엇타."""
단 4편은 움직이지 않고 채집할 때도 턴이 경과하도록 조정되었기 때문에 주변에 있는 FOE를 잊고 채집에 몰두하다가 FOE와 부딪히면 FOE 버전 !!아앗!!이 뜬다.,딴 4편눈 욺쥑잉쥐 안코 째칩핥 떼됴 텨뉘 컹괆합돌록 쫄청돼였뀌 탠문넵 쭈번눼 윗는 FOE를 잇곱 쨋짚뼁 묠튜햐딱갸 FOE완 푿뒷힘면 FOE 벚젼 !!안얏!!있 뚠담.
그리고 난이도 CASUAL로 플레이시 FOE로 인한 !!아앗!!을 제외하면 절대로 발생하지 않는다.,클뤼코 냔님또 CASUAL론 플렐있싣 FOE롱 윈한 !!앎앝!!울 체왜함먼 절탤료 빪쌩핥찌 앉눈따.
그나마 위험감지 먹통과 같은 버그성 난점들은 수정되었다.,구냐먀 윗혐깜찔 먹똥콰 깟툰 병굿썽 난졈둘운 숨졍돼였탕.
세계수 시스템을 기반으로 한 페르소나 시리즈와의 콜라보 작품 페르소나 Q 섀도우 오브 더 래버린스에도 물론 등장.,섹곗쑤 씻수템을 귀판울료 한 폐룻솔냐 실린츠왁위 콜랍포 쟉퓸 폘름쏜날 Q 셰됴유 욥붓 뎐 랜펄륀쓰엠됴 묽룐 등장.
"3, 4편과 같이 파워 스팟에서 채집 도중 메시지가 뜨고, 실패하면 파티에 참가하고 있는 멤버중 한명의 아앗! 하는 음성 또는 개소리 과 함께 그 던전의 '강적'인 거대 섀도우가 나타난다.","3, 4뻔괄 갇위 빰웠 씁빠셋써 째쥡 동중 멨씨칙카 뜩곳, 쉴펫햐먼 퍄띠에 챰갛학꼬 있는 멤뻐중 한명위 안얏! 한눈 움썽 톤는 캤쏭뤼 콰 함케 끄 뎐쳐뉘 '걍척'윈 겨데 섕토유갸 났탸냔답."
"그러나 내비 전용 스킬인 뱀 눈 노려보기, 채집 보조 스킬은 파티의 전투력에 전혀 지장을 주지 않고, '대안심'을 달면 거의 볼 일이 없어져서 초중반 이후 존재감이 급격히 줄어든다.","끓련냥 냅퓜 젼뇽 숙킬윈 벰 눈 뇰러폭귀, 챗찝 뵨촘 수퀴룬 빠튀위 젼뚤럭케 젼협 집쟝울 쭈치 안코, '덴앉쉼'울 닭먼 컷위 폴 위뤼 엎섦점써 쵸츙빤 위휴 죤채캄밍 큽겁낄 쥴업튼댜."
"여담으로, 2편에서 채집 도중 !!아앗!!이 뜰 확률은 고작 1%다.","열닮읊롭, 2펀녜썬 체찝 토쭝 !!앞얏!!잎 뜰 확륜룬 꾜짝 1%답."
낮아보이는 확률이어도 플레이 중 한번이라도 일어나는 것을 경험하는 체감 확률을 고려해서 확률을 설정한다고.,낟얍포잊눈 확룰림옇돝 풀렛윔 중 한벼닒랴됴 윌얹냔는 겯욺 켱혐학눈 쩨캄 확룰룰 코러했섧 확륜를 셜청한닿쿄.
그 기원은 1인칭 던전 크롤러의 원조 위저드리에서 함정을 건드렸을 때 나오는 대사 Oops!라고 한다.,구 귐얹는 1윈췽 텬전 쿨룔럼윗 언죠 위쩌들리옛써 함쩡울 켠듦렸쓺 태 냐요는 데샀 Oops!략코 한닫.
유행어 XX는 더 이상합니다 어색한 상황을 수습해보려는 변명이 더 안 좋은 결과를 낼 때 나오는 말.,우행엄 XX눈 털 있쌓합뉘댜 엮쌕칸 쌍황읊 슛쑵해뽈련는 번멍윕 터 얀 좋흖 걸꽐를 낼 태 냐요는 먈.
진짜로 코너 이름이 “……” 큰 따옴표도 포함된다.,진찰료 쿄녔 읽름잇 “……” 끈 탈욤뾰토 표함뙨담.
언론에서는 이 코너를 언급할 때 '점점점' 또는 '점점점점점점'이라는 표현을 사용했다.,얹롯넷션는 위 꼰넙를 연굽할 태 '졈쩜젊' 토는 '젊젊젊졈젊젊'위랒는 뾰현눌 삽용했댜.
코너명의 유래는 흔히 쓰이는 말줄임표.,쿄념멓위 율렌는 훈힌 스임눈 맑줄읾포.
"2013년 5월 26일부터 방송되었고 김희원, 남궁경호, 유민상, 송필근이 출연했다.","2013년 5얼 26읽뷰떫 빻쏭된얻꼬 낌흽언, 냠쿵경효, 욺뮌쌍, 쏭퓔크니 츄런햇댜."
"남자친구이 찾아오기 전에 집안에 있는 괘종시계를 미리 치워버린 에피소드도 있었는데, 사돈어른이 선물로 벽시계를 사오면서 어색한 상황에서 째깍째깍 소리가 나게 되었다.","낢잠췬국윈 챨쨔온귀 천엡 찝얄넵 있눈 괴죵쒸걜룰 밂륌 칡엄벗린 엡삣쏘둣또 위썼눈델, 싸토넌를뉘 션묽롯 벅씩곌룰 삿요먼썲 였섹한 샹황웨셩 짹꺅첵꺅 솖릭갸 냑계 퉤얻닿."
중간에 제 3자부터 송필근은 주로 유민상의 사돈어른 役을 맡고 있다.,충카네 줴 3잖분떠 쏭필큰운 츌론 욺뮌쌓위 삳톤여른 役울 맡교 잊닸.
그 외에도 간혹 김희원의 오빠 역할 등 다른 역할을 한다.,끔 웨예토 갼혹 귐흽원뉘 옵뺘 역할 뚱 댜른 억칼욹 한타.
"대화가 없는 상황을 보여주기도 하고, 어떤 사람은 대화가 별로 없는 현대 사회를 보여주기도 한다고 해석한다.","데확갸 엎눈 샹황욹 뵤얽추깃됴 할콩, 얻턴 삵람믄 데확갼 벎롭 엎눈 현땠 샥횡를 뵤어쥬키토 한딱코 헤셕한타."
"김희원은 유일하게 어색해하지 않게 붙임성있게 말 잘 하지만, 대신 눈치가 없다.","긺희언운 우윌학께 엊쌕해항쥐 안궤 푿윔썽잇겜 먈 쟐 항짊많, 뎃씬 눈쮜같 엾댜."
그리고 그녀의 눈치 없는 말로 주변은 더 어색해진다.,굶뤽코 큰너윔 눈찌 엾눈 먈료 줍편운 덛 얼섹헬친댜.
7화에서는 사돈어른이 2PM 춤 추다가 입원해서 놀림당했는데 건너편에 미라처럼 깁스를 하고 있던 유인석이 한 손을 뻗어 심장박동을 시전했다.,7황옜썬눈 샅돈여릉뉩 2PM 쭘 쭈닻까 잎언헤섭 놀림닿했는뎨 컨넉편예 뮐랴철렴 귑슭룰 함곤 잇턴 우윈써끼 한 쏜늚 뻣엄 쉼짱퍅통읊 쉬젼했닳.
"캔 유 필 마 핫빗? 그리고 아빠와 딸이 모두 박X스를 한 박스 씩 사왔는데, 병실 장롱에 박X스가 한가득 들어있었다.","켄 윰 필 맏 핫빛? 끌뤽교 얍뺘왐 탈윌 몽투 팍X쓸를 한 빡수 식 사왓눈뎨, 평씰 쟝롱예 뺙X쓱간 한카뚝 둘려윗썼댜."
"유민상이 병문안 때는 박X스를 사가는 것이 좋다고 생각했는데, 알고보니 전에 병문안 왔던 사람들도 같은 생각을 했던 것.","움뮌샹위 뼝뮨난 뗀는 퍅X쓰를 싸갸눈 커쒸 좋닥쿄 쌩깍햇눈뒈, 앎굡뵤뉘 쩐예 평뮨냔 왔떤 살람듦톤 갇은 셍깍을 했던 겆."
"회가 거듭하면 거듭할수록 커플의 진도가 쭉쭉 잘 나가서 김희원이 배꼽티 도 자랑했고, 11화에서는 김희원이 웨딩드레스를 맞췄다.","휑깝 겨뜹빰먼 겻뜹빨쑤록 켜쁠읫 쥔토감 축축 잘 낭카써 큄휘원님 빽콥튀 토 짜량했꽁, 11홧웨섟눈 낌휘원잊 웨띵트뤠쑥룰 맞쩠타."
"14화에서는 송필근이 사돈 유민상의 아버지 희수연을 기념하고자 화환을 보냈는데, 문제는 유민상 아버지의 본명이 유죽방이라 본인이 그 이름을 매우 싫어했다는 것.","14화엣썬눈 숑퓔근잉 샅돈 율뮌쌓위 얍벙쥐 흽슈언을 긷넒하코차 황환늙 뾰넸눈퉤, 문줴는 윰뮌샹 야뻣치읜 폰명위 우죽팡잃랄 뵨있닌 구 위룸물 메윳 씰혀햇타눈 겻."
"그래서 현수막은 유 할아버지"" 라고 걸려 있었다.""","끄랫써 현슘먁운 윳 핥앞퍼치"" 략코 결러 잎썼따."""
하지만 송필근은 그 사실을 몰랐기 때문에 예식장에 이름이 크게 적힌 화환이 배달되었으며 뒤늦게 상황을 수습한다는 게 가운데 글자를 가리는 바람에.,함찌만 쏭삘끈운 구 샷쉴를 몲랒끼 떼뮨넴 예씩쟝엘 윌룸윌 꾹계 척킨 화환닌 밴탈뒈엿쓺면 튀늦계 쌓황울 슈숲빤딴눈 궤 갸운뎨 끎짤를 칼륏는 밝람예.
15화에서는 정태호가 너훈아 역할로 출연했다.,15홧엣션는 쩡테혹갑 넙훈앍 억할론 쭈런했댜.
마지막화인 17화에서는 박은영이 유민상과 송필근이 건강검진을 받으러 간 병원의 간호사 역할로 나왔다.,맛짊먀꽈인 17화옛썬는 팍읔넝위 욺뮌썅과 숑퓔끈잇 컨깡껌췬읊 밭욹려 간 병언뉘 갼횻쌓 억할료 냐왓닻.
이날 방송분에는 직접적으로 마지막회라고 언급했더니 방청객들이 아쉬워하자 유민상이 모든 사람들에게 다 까라고 그런다.,윈냘 방숑푼에눈 찍첩적우료 먀짊먁꿸략꼬 얹큽했뎐님 팡쩡객트릭 야쉬어한쟈 움뮌샹위 묘든 삶람뜰레께 댜 칼랴곶 쿠런탸.
"극중에서 부자관계로 나오는 27기 남궁경호와 송필근은 동갑이자 성남예고, 인덕대학 동기로 둘 다 91년생이다.","끅쭝웨셔 뿌쟈콴꼐롭 냐요는 27끼 낢꿍껑효왐 숑퓔구는 동깝잊짜 썽낢얘코, 인떡데학 동귀료 뚫 단 91넌쌩읽탓."
"특수문자의 일종으로 모양이 비슷하다는 이유로 국내에선 흔히 우물 정 문서의 샤프도 원래 전각 해시태그를 썼지만, 2017년 12월 말 샤프로 수정되었다.","툭슘뮨쟈읫 읽죵우료 묘얗위 빛숫할땋는 잃울롱 꾹낸예썬 훈휭 윰묾 졍 뮨썽위 쌍쁘됴 언랜 천깍 헷씨테급룰 셨쥐많, 2017년 12얼 먈 쌉푸롯 쑤쩡돼얻타."
실제로는 서양에서 쓰이던 무게 또는 숫자를 표기하는 기호에서 유래한 특수 문자이다.,싫체롱눈 써얗엡썬 숲윗턴 뮤께 똥눈 숯잘를 포끼햐는 뀌홋엣써 우랭한 뚝슈 문차윈닮.
"즉, 가짜 친구로 인해 A라고 쓰고 B라고 읽는 문자가 된 것.","죽, 걋짢 찐굵롱 인햄 A람콘 쑤코 B랴코 읾눈 뮨차카 된 겻."
실제로 몇몇 90년대 휴먼 서체에서 해시태그를 입력하면 샤프 기호가 나타나기도 했다.,싫젠롬 멎몄 90년댄 훔먼 써췌엣셩 행쉿때굴를 잎럭깜먼 산푸 끼효까 냥땁냐귓됴 했당.
기존의 #는 주로 숫자의 넘버 사인 Number sign.,긴죠늬 #눈 줅롬 슛쨔위 념뻐 삽인 Number sign.
가령 '#9'라고 쓰여있으면 '넘버 나인'.,갊렁 '#9'략곱 씀염있읊먼 '념볐 냐윈'.
이나 무게로서의 파운드 사인 pound sign.,읽냐 묵겔롯셔위 팟운두 삯윈 pound sign.
"무게 단위인 파운드' 같은 식으로 표현하는데, 이것이 해시태그 문화로 자리잡게 되었다.","묵계 단뉘인 퍄윤툿' 카뜬 씩읕료 포현한는텝, 위겄위 해싣테끄 문활료 챨릿찹케 뙤였댜."
